Title,Company,Min. Years of Exp. Required,Fresh Grad/Less Exp.,Classification,Posted Date,Job ID,URL,Exaction Location,District,Area,Min_Salary,Max_Salary
Data Analyst (Oracle preferred),Jobsdb - SmartHire,3,False,Information & Communication Technology,2024-07-17 04:00:00,76859731,https://hk.jobsdb.com/job/76859731,Quarry Bay,Eastern,Hong Kong,0,0
Data/Business Analyst / Assistant,新宇環保集團有限公司,,True,Information & Communication Technology,2024-07-17 04:00:00,77322695,https://hk.jobsdb.com/job/77322695,Kowloon Bay,Kwun Tong,Kowloon,15000,19000
Junior Data Analyst (APAC Ecommerce & Retail) - 35K,Techforce Group Limited,3,False,Marketing & Communications,2024-07-17 16:00:00,77347917,https://hk.jobsdb.com/job/77347917,Tsim Sha Tsui,Yau Tsim Mong,Kowloon,25000,35000
Data Analyst / Senior Data Analyst,Lauris Walton International Limited,2,False,Information & Communication Technology,2024-07-17 10:00:00,77333789,https://hk.jobsdb.com/job/77333789,Causeway Bay,Wan Chai,Hong Kong,0,0
Business Data Analyst,Datacube Research Centre Limited,2,False,Information & Communication Technology,2024-07-17 04:00:00,74055325,https://hk.jobsdb.com/job/74055325,Kwun Tong,Kwun Tong,Kowloon,0,0
"Solution & Data Analyst, Service Transformation",Otis Elevator Co (HK) Limited,,False,Information & Communication Technology,2024-07-17 04:00:00,77310438,https://hk.jobsdb.com/job/77310438,Kowloon Bay,Kwun Tong,Kowloon,0,0
Business Analyst,Lively Impact Technology Limited,,False,Information & Communication Technology,2024-07-17 13:00:00,77341887,https://hk.jobsdb.com/job/77341887,Science Park,Tai Po,New Territories,25000,34000
Data Analyst (5-day Work),Centaline Data Technology Limited,,False,Information & Communication Technology,2024-07-16 04:00:00,77278757,https://hk.jobsdb.com/job/77278757,Tsim Sha Tsui,Yau Tsim Mong,Kowloon,0,0
Junior Business Analyst - Enterprise Systems and Data Analytics,Jardine Restaurant Group,1,False,Information & Communication Technology,2024-07-14 04:00:00,77262749,https://hk.jobsdb.com/job/77262749,,,Kowloon,0,0
Senior Operations Data Analyst (18 months contract),Cathay Pacific Airways Ltd,5,False,Information & Communication Technology,2024-07-17 04:00:00,77309739,https://hk.jobsdb.com/job/77309739,Tung Chung,Islands,New Territories,0,0
"Senior Data Analyst - Company Financials, ESG, Hong Kong",Bloomberg L P,3,False,Consulting & Strategy,2024-07-17 13:00:00,77346225,https://hk.jobsdb.com/job/77346225,,,Hong Kong,0,0
Data Engineer,Admazes Limited,1,False,Information & Communication Technology,2024-07-18 03:00:00,77356715,https://hk.jobsdb.com/job/77356715,Lai Chi Kok,Sham Shui Po,Kowloon,0,0
Data Analyst (Digital Marketing & Customer Experience),FreightAmigo Services Limited,5,False,Marketing & Communications,2024-07-16 04:00:00,77282419,https://hk.jobsdb.com/job/77282419,,Yau Tsim Mong,Kowloon,0,0
Data Management Specialist,Global Sources,2,False,Information & Communication Technology,2024-07-13 04:00:00,77243702,https://hk.jobsdb.com/job/77243702,,Southern,Hong Kong,0,0
Data Scientist,AIVI Technologies Limited,,False,Science & Technology,2024-07-17 04:00:00,77283232,https://hk.jobsdb.com/job/77283232,Science Park,Tai Po,New Territories,30000,40000
Data / Business Analyst,MTM Labo Ltd,2,False,Marketing & Communications,2024-07-16 04:00:00,75233593,https://hk.jobsdb.com/job/75233593,Quarry Bay,Eastern,Hong Kong,0,0
Data Engineer - Global Property Research and Analytics,Nan Fung Development Limited,4,False,Information & Communication Technology,2024-07-17 11:00:00,77336749,https://hk.jobsdb.com/job/77336749,Sheung Wan,Central and Western,Hong Kong,0,0
"Specialist, Revenue Management",Hong Kong Express Airways Limited,2,True,Sales,2024-07-17 16:00:00,77347927,https://hk.jobsdb.com/job/77347927,Airport Area,Islands,New Territories,0,0
"VP, Team Lead, Customer Proposition Analytics, Data Chapter",DBS Bank (Hong Kong) Limited,1,False,Banking & Financial Services,2024-07-17 18:00:00,77351817,https://hk.jobsdb.com/job/77351817,Quarry Bay,Eastern,Hong Kong,0,0
Senior Data Analyst / Supervisor,Simatelex Manufactory Co Ltd,5,False,"Manufacturing, Transport & Logistics",2024-07-16 04:00:00,75509925,https://hk.jobsdb.com/job/75509925,Wong Chuk Hang,Southern,Hong Kong,0,0
Business Analyst at ACT Solutions Limited,Jobsdb - SmartHire,1,False,Information & Communication Technology,2024-07-17 04:00:00,76987834,https://hk.jobsdb.com/job/76987834,,Southern,Hong Kong,0,0
Analyst,DFI Development (HK) Limited,1,False,Banking & Financial Services,2024-07-16 04:00:00,76887568,https://hk.jobsdb.com/job/76887568,Quarry Bay,Eastern,Hong Kong,0,0
Junior Analyst -- Talents and Organizations,KEEN CITY HOLDINGS LIMITED,1,False,Human Resources & Recruitment,2024-07-17 12:00:00,77338080,https://hk.jobsdb.com/job/77338080,Quarry Bay,Eastern,Hong Kong,0,0
"Sr. Analyst, Apparel Development",Under Armour Asia Limited,4,False,Retail & Consumer Products,2024-07-17 19:00:00,77353112,https://hk.jobsdb.com/job/77353112,Kowloon Bay,Kwun Tong,Kowloon,0,0
"Assistant Officer, Diamond Department (Data Analysis)",CHOW TAI FOOK JEWELLERY CO LTD,3,False,"Manufacturing, Transport & Logistics",2024-07-16 04:00:00,77288285,https://hk.jobsdb.com/job/77288285,Central,Central and Western,Hong Kong,0,0
"Data Engineer, Data Engineering Team (WFH Policy)",Yusen Logistics Global Management Limited,,False,Information & Communication Technology,2024-07-17 11:00:00,77336121,https://hk.jobsdb.com/job/77336121,Kwai Hing,Kwai Tsing,New Territories,0,0
Business Analyst / Data Analyst,Purapharm International (H.K.) Limited,2,False,Information & Communication Technology,2024-07-06 04:00:00,77066558,https://hk.jobsdb.com/job/77066558,,Tai Po,New Territories,0,0
Business Analyst/Revenue Analyst - MNC,Michael Page International (HK) Ltd,5,False,Accounting,2024-07-17 04:00:00,77321128,https://hk.jobsdb.com/job/77321128,,Central and Western,Hong Kong,30000,40000
Business Intelligence Analyst,Technicon Engineering Ltd,,False,Information & Communication Technology,2024-07-16 04:00:00,77289773,https://hk.jobsdb.com/job/77289773,Kwai Fong,Kwai Tsing,New Territories,0,0
Assistant Business Analyst / Business Analyst,Hong Kong Life Insurance Limited,3,True,Information & Communication Technology,2024-07-17 15:00:00,77345435,https://hk.jobsdb.com/job/77345435,Sheung Wan,Central and Western,Hong Kong,0,0
Business Planning Analyst at YesStyle.com Limited,Jobsdb - SmartHire,,False,Information & Communication Technology,2024-07-17 04:00:00,76845172,https://hk.jobsdb.com/job/76845172,Kwai Hing,Kwai Tsing,New Territories,0,0
Senior Data Analyst / Data Architect up to 65k,Pathsight Limited,7,True,Information & Communication Technology,2024-07-15 04:00:00,77268943,https://hk.jobsdb.com/job/77268943,,,Hong Kong,0,0
Business Analyst,AXA Hong Kong,3,True,Information & Communication Technology,2024-07-17 04:00:00,77323108,https://hk.jobsdb.com/job/77323108,Wong Chuk Hang,Southern,Hong Kong,0,0
"System Analyst / Data Analyst (Java/OBIEE, Gov’t project)",CL Technical Services Ltd.,1,False,Information & Communication Technology,2024-07-16 04:00:00,77281011,https://hk.jobsdb.com/job/77281011,Admiralty,Central and Western,Hong Kong,55000,65000
ETL Specialist / Senior Data Analyst,Excel Technology International (Hong Kong) Limited,,False,Information & Communication Technology,2024-07-16 04:00:00,77295653,https://hk.jobsdb.com/job/77295653,,,Hong Kong,0,0
D365 Business Analyst,Peoplebank Hong Kong Limited,,False,Information & Communication Technology,2024-07-17 18:00:00,77350724,https://hk.jobsdb.com/job/77350724,Kowloon Bay,Kwun Tong,Kowloon,0,0
"Data Analyst (Bank, 6 months contract)",PERSOLKELLY Hong Kong Limited,3,False,Information & Communication Technology,2024-07-13 04:00:00,77248237,https://hk.jobsdb.com/job/77248237,Central,Central and Western,Hong Kong,0,0
Senior Data Engineer / Data Engineer,Tam Jai International Co. Limited,5,False,Information & Communication Technology,2024-07-17 19:00:00,77353140,https://hk.jobsdb.com/job/77353140,,Sham Shui Po,Kowloon,0,0
"Manager / Assistant Manager, Business Intelligence and Analytics",K11 Concepts Limited,5,True,Real Estate & Property,2024-07-16 04:00:00,76678199,https://hk.jobsdb.com/job/76678199,Tsim Sha Tsui,Yau Tsim Mong,Kowloon,0,0
Assistant Business Analyst,AXA Hong Kong,,True,Information & Communication Technology,2024-07-17 04:00:00,77322798,https://hk.jobsdb.com/job/77322798,Wong Chuk Hang,Southern,Hong Kong,0,0
Data Engineer,FUJIFILM Data Management Solutions Asia Limited,,False,Information & Communication Technology,2024-07-16 04:00:00,77279807,https://hk.jobsdb.com/job/77279807,Chai Wan,Eastern,Hong Kong,0,0
"Digital Analyst, Omni-channel Activation",Cathay Pacific Airways Ltd,2,False,Information & Communication Technology,2024-07-17 04:00:00,77309092,https://hk.jobsdb.com/job/77309092,Tung Chung,Islands,New Territories,0,0
Assistant Data Analyst,Arcadis,1,False,Information & Communication Technology,2024-06-29 04:00:00,76898089,https://hk.jobsdb.com/job/76898089,Tsim Sha Tsui,Yau Tsim Mong,Kowloon,25000,30000
"Data Analyst (Banking, Python, Tableau)",PERSOLKELLY Hong Kong Limited,3,False,Information & Communication Technology,2024-07-12 04:00:00,77201203,https://hk.jobsdb.com/job/77201203,Central,Central and Western,Hong Kong,0,0
"Senior Analytics Manager (Business Insights), Customer Data Analytics and CRM",Hang Seng Bank Ltd,1,False,Banking & Financial Services,2024-07-17 15:00:00,77344764,https://hk.jobsdb.com/job/77344764,,,Hong Kong,0,0
Data Engineer (Data migration Project),Manpower Services (Hong Kong) Limited,5,False,Information & Communication Technology,2024-07-17 04:00:00,77309651,https://hk.jobsdb.com/job/77309651,,Hong Kong Island,Hong Kong,0,0
Data & AI Specialist,"Huawei International Co., Ltd",4,False,Information & Communication Technology,2024-07-14 04:00:00,77264222,https://hk.jobsdb.com/job/77264222,,Hong Kong Island,Hong Kong,0,0
Data Analyst,Hong Kong Technology Venture Company Limited,0,True,Information & Communication Technology,2024-07-11 04:00:00,77170636,https://hk.jobsdb.com/job/77170636,Tseung Kwan O,Sai Kung,New Territories,0,0
Business Analyst,Ricacorp Properties Limited,1,False,Information & Communication Technology,2024-07-17 04:00:00,77305357,https://hk.jobsdb.com/job/77305357,Wan Chai,Wan Chai,Hong Kong,0,0
Data Engineer,HG Innovation Limited,2,False,Information & Communication Technology,2024-07-11 04:00:00,77168953,https://hk.jobsdb.com/job/77168953,Hung Hom,Kowloon City,Kowloon,30000,45000
Data Engineer (Python/R/Scala),Venturenix Limited,2,False,Information & Communication Technology,2024-07-17 11:00:00,77337013,https://hk.jobsdb.com/job/77337013,Tseung Kwan O,Sai Kung,New Territories,28000,42000
Data Analyst,Handao Technology Limited,,False,Information & Communication Technology,2024-06-28 04:00:00,76789825,https://hk.jobsdb.com/job/76789825,Tuen Mun,Tuen Mun,New Territories,35000,40000
Assistant Operation Manager (Data Center),ASK IT LIMITED,5,False,Information & Communication Technology,2024-07-17 04:00:00,77308844,https://hk.jobsdb.com/job/77308844,Kowloon Bay,Kwun Tong,Kowloon,0,0
Trade & Supply Chain Application L2 support,Jobsdb - SmartHire,5,False,"Manufacturing, Transport & Logistics",2024-07-17 04:00:00,77017368,https://hk.jobsdb.com/job/77017368,,Central and Western,Hong Kong,0,0
Retail Data Analyst (CRM/ Digital Performance),AS Watson Retail (HK) Limited,,True,Information & Communication Technology,2024-07-11 04:00:00,77179318,https://hk.jobsdb.com/job/77179318,Whampoa Garden,Kowloon City,Kowloon,0,0
"Analyst - Payment Investigation, Technology & Operations",DBS Bank (Hong Kong) Limited,5,False,Accounting,2024-07-17 20:00:00,77353789,https://hk.jobsdb.com/job/77353789,,Kwun Tong,Kowloon,0,0
Business Analyst,Man Hing Hong Properties Company Limited,3,False,Information & Communication Technology,2024-07-13 04:00:00,77236042,https://hk.jobsdb.com/job/77236042,Central,Central and Western,Hong Kong,0,0
Data Analyst - 6 Month Contract - 40-50K per month,Pure Search International Limited,,False,Information & Communication Technology,2024-07-11 04:00:00,77171115,https://hk.jobsdb.com/job/77171115,Tai Koo,Eastern,Hong Kong,0,0
Trainee – Finance Projects and Reporting (One Year Contract),Credit Agricole Corporate And Investment Bank,,True,Accounting,2024-07-17 14:00:00,77343802,https://hk.jobsdb.com/job/77343802,Admiralty,Central and Western,Hong Kong,0,0
IT Business Analyst - E-Commerce/ digital / Supply chain,Robert Walters (HK) Ltd,3,False,Information & Communication Technology,2024-07-18 03:00:00,77356716,https://hk.jobsdb.com/job/77356716,,Central and Western,Hong Kong,0,0
"Premier Agency Development, Senior Analyst",AIA Hong Kong,,False,Insurance & Superannuation,2024-07-03 04:00:00,76969400,https://hk.jobsdb.com/job/76969400,Quarry Bay,Eastern,Hong Kong,0,0
Pricing & Data Analytics Manager (Gift & Premium | 35-50k),Ambition,4,False,"Manufacturing, Transport & Logistics",2024-07-16 04:00:00,77291726,https://hk.jobsdb.com/job/77291726,,Central and Western,Hong Kong,35000,50000
"Group Digital, Business Analyst",Hong Kong Aircraft Engineering Co Ltd,5,True,Information & Communication Technology,2024-07-17 15:00:00,77344899,https://hk.jobsdb.com/job/77344899,Airport Area,Islands,New Territories,0,0
"Digital Centre of Excellence (Assistant) Manager, Business Insights",DFI Development (HK) Limited,5,False,Consulting & Strategy,2024-07-12 04:00:00,77198859,https://hk.jobsdb.com/job/77198859,Quarry Bay,Eastern,Hong Kong,0,0
Analyst,A. R. Medicom Inc. (Asia) Limited,3,False,"Manufacturing, Transport & Logistics",2024-07-17 04:00:00,77321234,https://hk.jobsdb.com/job/77321234,North Point,Eastern,Hong Kong,0,0
"Deputy Manager to Senior Manager, Workout and Recovery",Industrial and Commercial Bank of China (Asia) Limited,5,False,Banking & Financial Services,2024-07-17 04:00:00,77319216,https://hk.jobsdb.com/job/77319216,Ngau Tau Kok,Kwun Tong,Kowloon,0,0
Project Finance Analyst at an European Bank in Hong Kong,Jobsdb - SmartHire,3,False,Accounting,2024-07-17 04:00:00,77014974,https://hk.jobsdb.com/job/77014974,Admiralty,Central and Western,Hong Kong,0,0
Data Engineer - Insurance,TEKsystems,,False,Information & Communication Technology,2024-07-17 04:00:00,77309411,https://hk.jobsdb.com/job/77309411,Quarry Bay,Eastern,Hong Kong,30000,38000
Data Engineer (Informatica),CXC Global Hong Kong Limited,3,False,Information & Communication Technology,2024-07-11 04:00:00,77183920,https://hk.jobsdb.com/job/77183920,,Hong Kong Island,Hong Kong,0,0
Junior Analyst -- Marketing,KEEN CITY HOLDINGS LIMITED,1,False,Marketing & Communications,2024-07-17 12:00:00,77338896,https://hk.jobsdb.com/job/77338896,Quarry Bay,Eastern,Hong Kong,0,0
Business Analyst,"Polar Air Cargo Worldwide, Inc",1,False,Information & Communication Technology,2024-07-13 04:00:00,76607233,https://hk.jobsdb.com/job/76607233,Tung Chung,Islands,New Territories,0,0
Consumer and Market Insights Analyst,Meyer Manufacturing Co Ltd,2,False,Marketing & Communications,2024-07-16 04:00:00,77283541,https://hk.jobsdb.com/job/77283541,,Kwun Tong,Kowloon,0,0
Business Analyst (Banking),Ambition,3,True,Information & Communication Technology,2024-07-17 15:00:00,77345907,https://hk.jobsdb.com/job/77345907,,Central and Western,Hong Kong,30000,60000
Business Analysis Officer,City Super Limited,3,False,Banking & Financial Services,2024-07-17 17:00:00,76570638,https://hk.jobsdb.com/job/76570638,Tsim Sha Tsui,Yau Tsim Mong,Kowloon,0,0
"Junior Analyst, Financial Planning & Analysis",SmarTone Telecommunications Limited,,True,Accounting,2024-07-17 20:00:00,77353544,https://hk.jobsdb.com/job/77353544,Ngau Tau Kok,Kwun Tong,Kowloon,0,0
Business Performance Analyst (Sales Tracking & Commission Calculation),HKT Consumer Business Group,1,False,Sales,2024-06-29 04:00:00,76895248,https://hk.jobsdb.com/job/76895248,Quarry Bay,Eastern,Hong Kong,0,0
Regional Analytic Manager,Michael Page International (HK) Ltd,4,False,Information & Communication Technology,2024-07-17 20:00:00,77353566,https://hk.jobsdb.com/job/77353566,,Central and Western,Hong Kong,50000,55000
Business Analyst (E-Commerce),DCH Business Innovations,,False,Information & Communication Technology,2024-07-17 04:00:00,77318917,https://hk.jobsdb.com/job/77318917,Kowloon Bay,Kwun Tong,Kowloon,0,0
Business Analyst - Insurance - Data Hub Project - WFH,TEKsystems,3,False,Information & Communication Technology,2024-07-14 04:00:00,77267242,https://hk.jobsdb.com/job/77267242,Hung Hom,Kowloon City,Kowloon,36000,46000
IT Technology Business Analyst/ ERP Consultant/ Project Specialist,Recreate System Limited,0,True,Information & Communication Technology,2024-07-17 04:00:00,77319271,https://hk.jobsdb.com/job/77319271,Sheung Wan,Central and Western,Hong Kong,0,0
"Senior Analyst / Data Analyst (CRM), $30-34K, In-house Permanent role",Don Nelson Recruitment Limited,4,False,Information & Communication Technology,2024-07-10 04:00:00,77143801,https://hk.jobsdb.com/job/77143801,Chai Wan,Eastern,Hong Kong,28000,34000
Data Architect/ Senior Data Engineer,Octopus Holdings Limited,5,True,Information & Communication Technology,2024-07-16 04:00:00,77280015,https://hk.jobsdb.com/job/77280015,Kowloon Bay,Kwun Tong,Kowloon,0,0
(Senior) Data Analyst,SabeTech Technology Limited,9,False,Information & Communication Technology,2024-07-10 04:00:00,77139501,https://hk.jobsdb.com/job/77139501,Mong Kok,Yau Tsim Mong,Kowloon,33000,46000
"Business Analyst (Data Management, Risk)",Robert Walters (HK) Ltd,2,False,Information & Communication Technology,2024-07-10 04:00:00,77155086,https://hk.jobsdb.com/job/77155086,,Central and Western,Hong Kong,25000,40000
Actuarial Analyst - HSBC Life,HSBC,,False,Insurance & Superannuation,2024-07-16 04:00:00,77282361,https://hk.jobsdb.com/job/77282361,,Central and Western,Hong Kong,0,0
Marketing & Customer Analyst,HKT Consumer Business Group,1,False,Marketing & Communications,2024-07-16 04:00:00,77289302,https://hk.jobsdb.com/job/77289302,,Hong Kong Island,Hong Kong,0,0
Project Executive/ Associate Business Analyst,Million Tech Development Ltd,1,False,Information & Communication Technology,2024-07-17 12:00:00,77339809,https://hk.jobsdb.com/job/77339809,Lai Chi Kok,Sham Shui Po,Kowloon,0,0
E-Commerce Officer,Pan Lloyds Publishers Limited,3,True,Marketing & Communications,2024-07-12 04:00:00,77210930,https://hk.jobsdb.com/job/77210930,,Tsuen Wan,New Territories,0,0
System Analyst (Data or Payment or Treasury & Settlement),Chong Hing Bank Ltd,4,False,Information & Communication Technology,2024-07-13 04:00:00,77246355,https://hk.jobsdb.com/job/77246355,Kowloon Bay,Kwun Tong,Kowloon,0,0
Group Business Analytics Lead,Michael Page International (HK) Ltd,,False,Information & Communication Technology,2024-07-16 04:00:00,77289624,https://hk.jobsdb.com/job/77289624,,Central and Western,Hong Kong,0,0
Financial Analyst,Albaugh Asia Pacific Limited,5,False,Accounting,2024-07-14 04:00:00,77264431,https://hk.jobsdb.com/job/77264431,Chai Wan,Eastern,Hong Kong,0,0
Data Analyst,Tang's Catering Management Limited,2,False,Consulting & Strategy,2024-07-09 04:00:00,77124408,https://hk.jobsdb.com/job/77124408,Lai Chi Kok,Sham Shui Po,Kowloon,0,0
IT Business Analyst,FUJIFILM BI,2,False,Information & Communication Technology,2024-07-17 12:00:00,77338381,https://hk.jobsdb.com/job/77338381,Ngau Tau Kok,Kwun Tong,Kowloon,0,0
Terminal Planning Analyst II 二級碼頭規劃分析主任,Modern Terminals Ltd,2,True,"Manufacturing, Transport & Logistics",2024-07-12 04:00:00,77205863,https://hk.jobsdb.com/job/77205863,Kwai Chung,Kwai Tsing,New Territories,0,0
Data Analyst (Insurance Firm),Cornerstone Global Partners,2,False,Science & Technology,2024-07-09 04:00:00,77123440,https://hk.jobsdb.com/job/77123440,Central,Central and Western,Hong Kong,27000,40000
Data Analyst - Innovative Technology Manufacturer,ConnectedGroup Limited,4,False,Information & Communication Technology,2024-07-09 04:00:00,77118854,https://hk.jobsdb.com/job/77118854,,Central and Western,Hong Kong,0,0
Leading insurance MNC - Business Analyst,Gravitas Recruitment Group (Hong Kong) Limited,4,False,Accounting,2024-07-17 16:00:00,77347712,https://hk.jobsdb.com/job/77347712,,Central and Western,Hong Kong,25000,40000
Junior Business Analyst - Insurance MNC - Agile,TEKsystems,1,False,Information & Communication Technology,2024-07-17 04:00:00,77307719,https://hk.jobsdb.com/job/77307719,,Central and Western,Hong Kong,0,0
Data Center Technical Support ( 數 據 中 心 技 術 支 援 ),ACME Universal Development Company,,False,Information & Communication Technology,2024-07-17 13:00:00,77341426,https://hk.jobsdb.com/job/77341426,Kowloon Bay,Kwun Tong,Kowloon,0,0
Assurance - Technology Risk - Senior Consultant/Consultant - Hong Kong,EY,,False,Information & Communication Technology,2024-07-17 17:00:00,77348650,https://hk.jobsdb.com/job/77348650,,Hong Kong Island,Hong Kong,0,0
CRM ANALYST (1-YEAR CONTRACT),Henderson Land Development Company Limited,2,False,Marketing & Communications,2024-07-13 04:00:00,75951647,https://hk.jobsdb.com/job/75951647,Quarry Bay,Eastern,Hong Kong,0,0
Customer Service Officer - Fulfillment Logistics (Next to Lai King Station),V-Logic Limited,2,False,Call Centre & Customer Service,2024-07-17 17:00:00,77350083,https://hk.jobsdb.com/job/77350083,,Kwai Tsing,New Territories,0,0
Research Analyst,iFAST Financial (HK) Limited,1,True,Banking & Financial Services,2024-07-17 04:00:00,76791901,https://hk.jobsdb.com/job/76791901,Tsim Sha Tsui,Yau Tsim Mong,Kowloon,0,0
System / Business Analyst,Cargo Services Far East Ltd,5,False,Information & Communication Technology,2024-07-10 04:00:00,77138345,https://hk.jobsdb.com/job/77138345,Kwai Chung,Kwai Tsing,New Territories,0,0
Business Analyst - Large Digital Project - Attractive Salary,TEKsystems,4,False,Information & Communication Technology,2024-07-17 12:00:00,77340273,https://hk.jobsdb.com/job/77340273,Quarry Bay,Eastern,Hong Kong,35000,50000
Engineering Procurement Manager (Data Center Facilities),"Huawei International Co., Ltd",5,False,"Manufacturing, Transport & Logistics",2024-07-10 04:00:00,77152241,https://hk.jobsdb.com/job/77152241,Tsim Sha Tsui,Yau Tsim Mong,Kowloon,0,0
Assistant Business Analyst (Ref: SSO/IT/ABA/JDB),Haven of Hope Christian Service,1,False,Information & Communication Technology,2024-07-13 04:00:00,77234791,https://hk.jobsdb.com/job/77234791,Tseung Kwan O,Sai Kung,New Territories,0,0
Business Analyst (Ref: JDB/HRM/BA),Computer And Technologies Resources Limited,3,False,Information & Communication Technology,2024-07-16 04:00:00,77284940,https://hk.jobsdb.com/job/77284940,Wong Chuk Hang,Southern,Hong Kong,0,0
Business Analyst / Junior Business Analyst (Finance Team),Manulife (International) Limited,,False,Insurance & Superannuation,2024-07-15 04:00:00,77268840,https://hk.jobsdb.com/job/77268840,Ngau Tau Kok,Kwun Tong,Kowloon,0,0
Non-financial Due Diligence Analyst and Investigator - Trainee,Total Credit Management Services Hong Kong Limited,,False,Banking & Financial Services,2024-07-16 04:00:00,77287438,https://hk.jobsdb.com/job/77287438,Ngau Tau Kok,Kwun Tong,Kowloon,15000,18000
IT Business Analyst,JFE Consulting Limited,,False,Information & Communication Technology,2024-07-18 00:00:00,77356417,https://hk.jobsdb.com/job/77356417,,,Kowloon,0,0
BUSINESS ANALYST (2 year contract),Cathay Pacific Airways Ltd,3,False,Accounting,2024-07-12 04:00:00,77200023,https://hk.jobsdb.com/job/77200023,Tung Chung,Islands,New Territories,0,0
Business Analyst/ Senior Business Analyst,New World Development Co Ltd,2,False,Information & Communication Technology,2024-07-17 12:00:00,77340367,https://hk.jobsdb.com/job/77340367,Lai Chi Kok,Sham Shui Po,Kowloon,0,0
"Vice President, Data Scientist (Team Lead), Data Chapter",DBS Bank (Hong Kong) Limited,8,False,Banking & Financial Services,2024-07-17 04:00:00,77306692,https://hk.jobsdb.com/job/77306692,Quarry Bay,Eastern,Hong Kong,0,0
Brand Manager- Insights & Growth Engine (FMCG | Non-manufacturing based company),Frieslandcampina (Hong Kong) Limited,5,False,Marketing & Communications,2024-07-09 04:00:00,77113206,https://hk.jobsdb.com/job/77113206,Mong Kok,Yau Tsim Mong,Kowloon,0,0
Business Intelligence Engineer,Taste of Asia Group Limited,1,False,Information & Communication Technology,2024-07-12 04:00:00,77200047,https://hk.jobsdb.com/job/77200047,Diamond Hill,Wong Tai Sin,Kowloon,0,0
"Research Analyst, Asset Allocation",Principal Asset Management Company (Asia) Limited,2,False,Banking & Financial Services,2024-07-09 04:00:00,77110572,https://hk.jobsdb.com/job/77110572,,Wan Chai,Hong Kong,0,0
Data Scientist (GenAI) - Fintech,Michael Page International (HK) Ltd,,False,Information & Communication Technology,2024-07-16 04:00:00,77297746,https://hk.jobsdb.com/job/77297746,,Central and Western,Hong Kong,0,0
Business Analyst (Finacial Services),Be Myjob Company Limited,5,False,Information & Communication Technology,2024-07-16 04:00:00,77276623,https://hk.jobsdb.com/job/77276623,,Central and Western,Hong Kong,0,0
Senior Solution Analyst,NTT DATA Hong Kong Limited,2,False,Information & Communication Technology,2024-07-17 04:00:00,77321614,https://hk.jobsdb.com/job/77321614,Tai Koo,Eastern,Hong Kong,0,0
"Digital Performance Analyst, Leading Financial MNC 35k",Morgan Mckinley Limited,2,False,Marketing & Communications,2024-07-17 04:00:00,77316407,https://hk.jobsdb.com/job/77316407,Wan Chai,Wan Chai,Hong Kong,25000,35000
Data Collection Executive (Grad Job),IPSOS,,True,Marketing & Communications,2024-07-17 04:00:00,77309494,https://hk.jobsdb.com/job/77309494,Hung Hom,Kowloon City,Kowloon,0,0
LINK’s Management Associate Programme 2024,Link Asset Management Limited,2,False,Real Estate & Property,2024-07-16 04:00:00,77275223,https://hk.jobsdb.com/job/77275223,Kowloon Bay,Kwun Tong,Kowloon,0,0
(Senior) Digital Business Analyst,AXA Hong Kong,2,False,Information & Communication Technology,2024-07-17 04:00:00,77308696,https://hk.jobsdb.com/job/77308696,,Central and Western,Hong Kong,0,0
"Manager, Marketing & CRM",OHLA! Luxury,3,False,Marketing & Communications,2024-07-17 13:00:00,77342526,https://hk.jobsdb.com/job/77342526,Tsim Sha Tsui,Yau Tsim Mong,Kowloon,0,0
PowerBI Developer (MPF),Omni Group Asia Limited,3,False,Information & Communication Technology,2024-07-16 04:00:00,77279836,https://hk.jobsdb.com/job/77279836,Sheung Wan,Central and Western,Hong Kong,40000,60000
Senior Operations Analyst (FX Settlement & Reconciliation),Currenxie Limited,4,False,Banking & Financial Services,2024-07-16 04:00:00,77277599,https://hk.jobsdb.com/job/77277599,Quarry Bay,Eastern,Hong Kong,0,0
System Analyst,HKT,2,False,Information & Communication Technology,2024-07-17 19:00:00,77352925,https://hk.jobsdb.com/job/77352925,Wan Chai,Wan Chai,Hong Kong,0,0
Mainframe Technical Consultant (System Programmer - MVS),Atos Information Technology HK Limited,1,False,Information & Communication Technology,2024-07-17 04:00:00,77304768,https://hk.jobsdb.com/job/77304768,Kowloon Bay,Kwun Tong,Kowloon,0,0
Business/Data Analyst (Up to 32k),Manpower Services (Hong Kong) Limited,3,False,"Manufacturing, Transport & Logistics",2024-07-06 04:00:00,77078401,https://hk.jobsdb.com/job/77078401,Tsing Yi,Kwai Tsing,New Territories,0,0
Senior Business Analyst (Digital / Mobile Projects),Cherrypicks Limited,3,True,Information & Communication Technology,2024-07-17 04:00:00,77305288,https://hk.jobsdb.com/job/77305288,Tsim Sha Tsui,Yau Tsim Mong,Kowloon,0,0
Digital Marketing Executive at Memoriki Limited,Jobsdb - SmartHire,1,True,Marketing & Communications,2024-07-17 04:00:00,77116724,https://hk.jobsdb.com/job/77116724,Ngau Tau Kok,Kwun Tong,Kowloon,0,0
Analyst Programmer,Aisino Hongkong Limited,2,False,Information & Communication Technology,2024-07-17 16:00:00,77348168,https://hk.jobsdb.com/job/77348168,,Hong Kong Island,Hong Kong,0,0
