Title,Company,Min. Years of Exp. Required,Fresh Grad/Less Exp.,Location,Classification,Salary,Posted Date,Job ID,URL
"Group Digital, Business Analyst",Hong Kong Aircraft Engineering Co Ltd,5,True,"Airport Area, Islands District",Information & Communication Technology,,2024-07-17 14:00:00,77344899,https://hk.jobsdb.com/job/77344899
Business Analyst,Lively Impact Technology Limited,,False,"Science Park, Tai Po District",Information & Communication Technology,"$25,000 - $34,000 per month",2024-07-17 12:00:00,77341887,https://hk.jobsdb.com/job/77341887
Business Analyst at ACT Solutions Limited,Jobsdb - SmartHire,1,False,Southern District,Information & Communication Technology,,2024-07-17 06:00:00,76987834,https://hk.jobsdb.com/job/76987834
IT Business Analyst,FUJIFILM BI,2,False,"Ngau Tau Kok, Kwun Tong District",Information & Communication Technology,,2024-07-17 11:00:00,77338381,https://hk.jobsdb.com/job/77338381
Assistant Business Analyst / Business Analyst,Hong Kong Life Insurance Limited,3,True,"Sheung Wan, Central and Western District",Information & Communication Technology,,2024-07-17 14:00:00,77345435,https://hk.jobsdb.com/job/77345435
Project Executive/ Associate Business Analyst,Million Tech Development Ltd,1,False,"Lai Chi Kok, Sham Shui Po District",Information & Communication Technology,,2024-07-17 12:00:00,77339809,https://hk.jobsdb.com/job/77339809
Data/Business Analyst / Assistant,新宇環保集團有限公司,,True,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,"$15,000 - $19,000 per month",2024-07-17 06:00:00,77322695,https://hk.jobsdb.com/job/77322695
Leading insurance MNC - Business Analyst,Gravitas Recruitment Group (Hong Kong) Limited,4,False,Central and Western District,Accounting,$25k - $40k p.m.,2024-07-17 15:00:00,77347712,https://hk.jobsdb.com/job/77347712
IT Business Analyst,JFE Consulting Limited,,False,Kowloon,Information & Communication Technology,,2024-07-18 00:00:00,77356417,https://hk.jobsdb.com/job/77356417
IT Technology Business Analyst/ ERP Consultant/ Project Specialist,Recreate System Limited,0,True,"Sheung Wan, Central and Western District",Information & Communication Technology,,2024-07-17 06:00:00,77319271,https://hk.jobsdb.com/job/77319271
Business Analyst - Large Digital Project - Attractive Salary,TEKsystems,4,False,"Quarry Bay, Eastern District",Information & Communication Technology,"$35,000 - $50,000 per month",2024-07-17 12:00:00,77340273,https://hk.jobsdb.com/job/77340273
Business Analyst,AXA Hong Kong,3,True,"Wong Chuk Hang, Southern District",Information & Communication Technology,discretionary bonus,2024-07-17 06:00:00,77323108,https://hk.jobsdb.com/job/77323108
Business Analyst / IT Development Group / (WFH Policy) Ref: SPDD,Yusen Logistics Global Management Limited,3,False,"Kwai Hing, Kwai Tsing District",Information & Communication Technology,,2024-07-17 17:00:00,77350321,https://hk.jobsdb.com/job/77350321
Business Analyst/ Senior Business Analyst,New World Development Co Ltd,2,False,"Lai Chi Kok, Sham Shui Po District",Information & Communication Technology,,2024-07-17 12:00:00,77340367,https://hk.jobsdb.com/job/77340367
Business Analyst (Banking),Ambition,3,True,Central and Western District,Information & Communication Technology,$30000.00 - $60k p.m.,2024-07-17 14:00:00,77345907,https://hk.jobsdb.com/job/77345907
IT Business Analyst - E-Commerce/ digital / Supply chain,Robert Walters (HK) Ltd,3,False,Central and Western District,Information & Communication Technology,"bonus, medical",2024-07-18 02:00:00,77356716,https://hk.jobsdb.com/job/77356716
Business Analysis Officer,City Super Limited,3,False,"Tsim Sha Tsui, Yau Tsim Mong District",Banking & Financial Services,,2024-07-17 16:00:00,76570638,https://hk.jobsdb.com/job/76570638
"Business Analyst, Strategic Projects, Product Development (1-year contract)",FTLife Insurance Company Limited,2,False,"Ngau Tau Kok, Kwun Tong District",Information & Communication Technology,,2024-07-17 06:00:00,77312403,https://hk.jobsdb.com/job/77312403
D365 Business Analyst,Peoplebank Hong Kong Limited,,False,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,,2024-07-17 17:00:00,77350724,https://hk.jobsdb.com/job/77350724
Junior Business Analyst - Enterprise Systems and Data Analytics,Jardine Restaurant Group,1,False,Kowloon,Information & Communication Technology,,2024-07-14 06:00:00,77262749,https://hk.jobsdb.com/job/77262749
(Senior) Digital Business Analyst,AXA Hong Kong,2,False,Central and Western District,Information & Communication Technology,discretionary bonus,2024-07-17 06:00:00,77308696,https://hk.jobsdb.com/job/77308696
Business Analyst,Man Hing Hong Properties Company Limited,3,False,"Central, Central and Western District",Information & Communication Technology,,2024-07-13 06:00:00,77236042,https://hk.jobsdb.com/job/77236042
